image_path,boat_model,photo_type,boat_type
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/bf3d9a3e1a8a.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/9251412f387a.png,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/ef7d1e618015.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/28a8d92ce6b0.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/f8395545d50c.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/71d28cb4133f.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/6ef56fdd5c16.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/8b8e193c83ea.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/3ad12125058a.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/f68fef452aa6.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/ddaaee82451b.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/87fd6717f65e.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/b9aa02a7c424.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/69506d5dc6f6.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/fbc2e6ae91e8.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/5723f540caa0.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/efb4e53b93be.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/9f3d53b466da.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/f321e3976952.png,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/88be4d077003.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/ab6e464c9eca.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/8c2829cf7feb.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/f06a293ab0fa.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/a1af87d3fb01.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/e5445b4221eb.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/9b15177bd463.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/c9a0f2274d16.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/0a384f395cf5.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/175aea65a0e4.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/33bbf8ed4932.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/1dfb795175d5.png,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/604ec28334db.jpg,Najad N451 CC,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/a44ec60f3b1d.jpg,Najad N451 CC,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Najad N451 CC/2a234eb52f09.jpg,Najad N451 CC,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/16f63129b0d5.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/442f8a780011.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/bcc99fd571e2.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/6f5306d4f316.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/0a2f4aae48b0.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/df96f24e0b33.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/5a7b4130c4e0.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/321924068179.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/9cf71d5b2eac.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/970151717886.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/380912e5e737.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/28f1bec5d47a.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/603e21ca038e.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/aa143f9a02d3.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/60adb1df840a.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/2e8a47975d8e.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/5dfbd399e768.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/3ee48f0efc8b.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/5851edeb0735.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/d37097682e63.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/ab4d88c79d3d.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/0e67a28db417.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/b32326304bda.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/072264a41822.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/90df197cdb26.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/ccc4f0f3d36c.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/e2e81df3d5dd.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/b65586a7bdef.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/a2794e770081.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/c4f89e997305.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/9ae3907b692b.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/1e1c6614ec4b.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/055631550b81.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/4278d438a8e1.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/1201749c327a.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/5ffd91a7973c.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/c1b65a59d08b.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/8d691487fe5a.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/c4ab5138df76.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/dc7815bae770.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/80a5ebeb3352.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/8e6b00c06a3b.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/a1e481914f65.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/e6b8083e0fce.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/59466a87b172.jpg,Dehler 34,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/be45c672bbba.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/4576526f327c.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/5a56ade5be76.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/c2b7dc7f2ca9.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/f4610b875d4d.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/c0fc1e286efe.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/41c91c7b60b6.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/7e4b08924e09.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/b15da5898d10.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/b4ab11e71881.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/4e77442e1bc8.jpg,Dehler 34,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Dehler 34/ff33364b5aa3.jpg,Dehler 34,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/324910153824.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/9756165ffb49.jpeg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/4ad8418cc0f0.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/4724c610849e.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/011c85e0a31e.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/34fa1426c478.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/71f50c82d1ab.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/8db17c76702d.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/81a8b876d7b1.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/d9cf7394f4e8.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/3caecb930fbe.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/043a6fd13a8c.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/103215ba5825.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/0b116b30c685.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/29415858ec6e.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/b5e3629c6a1b.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/fd39ff82e61c.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/bbc37d01994f.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/eeb38b3aeeaa.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/927d92ad5920.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/0e82a4f60ee2.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/03fecd0cef8a.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/de9aacbdf656.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/805798699606.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/8ab77f6241a7.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/0dd43546e419.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/6579544a91cb.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/945d89a2b278.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/09de8b32ea78.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/c270aee167b2.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/c36cc438e00c.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/c4453a9564c7.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/86b40c72fb78.jpeg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/18a73bc88417.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/74ed8a3cff4e.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/2c0ea5658b93.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/48ff32a05538.jpeg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/560426ae5f57.jpeg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/ac96840011d3.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/474c7962c98a.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/d363f97131b0.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/aed89961786e.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/4a18e258c814.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/22a2f6c2c6d2.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/acc3d5c4f07a.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/ebc3dd4fa254.jpeg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/9792e66608a3.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/e7397837101f.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/da95998d6e8e.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/b3653b291519.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/e8a95e23950f.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/cfbc76d58a24.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/70f5046ffabd.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/740c3d817e34.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/29f290109fbe.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/c785951b2f1e.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/a114354ce3af.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/a6e6292d27ce.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/f246b2e65964.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/c3f339a7c946.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/4cc0a3a83ef9.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/413680240e6a.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/e320937b776a.jpg,Moody Decksaloon 54,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/40baa2b618ca.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/182eaca9728e.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/531bb3645737.jpeg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/1d13b9b0eceb.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/5ba6cc912a67.jpeg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/6dc66a8ac605.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/f683de2b7a1c.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/4c690c30d171.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/00bd042b8976.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/dd06c6794db2.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/7214d5d0c5db.jpeg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/ea3f80a69b18.jpg,Moody Decksaloon 54,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Moody Decksaloon 54/448c80de4408.jpg,Moody Decksaloon 54,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/a32337ec83af.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/45eb122a1144.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/c97dcf6f40a5.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/24b16ebea6f6.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/7f504b6ccdc2.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/c86a558ca75e.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/8fb50689045d.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/ff9d5fab4672.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/d6376972e52c.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/733ba26afc29.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/bdddf6a9f0b2.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/ab74293e735c.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/f055537fbfa5.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/3f38b9663b17.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/96a8873056e9.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/94d140cecfa1.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/cd4762c73cb1.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/01bced941ffc.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/1b4b55789ea6.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/548495f37217.jpg,Shogun 43,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/c0a497a85e58.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/e1edc02ae255.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/a19f75862a02.jpg,Shogun 43,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/3bca4c598a62.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/e04cd05a2e3f.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/fcc9a935a5b7.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/fb2bd06b6c91.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/e6429566ee73.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/316833397c68.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/f56ef6383096.jpg,Shogun 43,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/cb7f00af5103.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/c348da4b9f79.jpg,Shogun 43,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Shogun 43/0baecaa3eeac.jpg,Shogun 43,in,seal
