boat_name,boat_type,boat_description,price,boat_url,loa_m,loa_ft,beam_m,beam_ft,draft_m,draft_ft,deadweight_t,displacement_t,fuel_capacity_l,water_tank_l,max_people,cabins,berths_for_guests,bathrooms,mainsail_m2,mainsail_optional_m2,jib_self_m2,genoa_m2,gennaker_m2,code_zero_m2,keel,ce_class,hull_type,hull_material,design,type_by_usage,deck_arrangement,builder,country,series,model,period_of_manufacture,crew,genoa_optional_m2,code_zero_optional_m2,spinnaker_optional_m2,mainsail_in_m2,spinnaker_m2,jib_m2,jib_optional_m2,max_speed_kt,cruising_speed_kt,gennaker_optional_m2,mainsail_lazy_bag_m2,mainsail_lazy_bag_optional_m2,jib_self_optional_m2,genoa_self_optional_m2,code_zero_optional_optional_m2,spinnaker_optional_optional_m2
Marlow-Hunter 31,Sailing yacht,"The Marlow-Hunter 31 is produced by the brand Marlow-Hunter since 2015. Marlow-Hunter 31 is a 9.86 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 1.65 meters. The base price of a new Marlow-Hunter 31 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9340-marlow-hunter-31,9.86,32.416666666666664,3.61,11.916666666666666,1.65,5.416666666666667,,5.44 (half load),80.0,189.0,,2.0,4.0,1.0,,,,,,,Lifting,,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Marlow-Hunter,US,,31,from 2015,,,,,,,,,,,,,,,,,
Marlow-Hunter 15,Sailing yacht,"The Marlow-Hunter 15 is produced by the brand Marlow-Hunter since 2013. Marlow-Hunter 15 is a 4.42 meters deysailer with a draft of 0.15 meters. The base price of a new Marlow-Hunter 15 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2009-marlow-hunter-15,4.42,14.583333333333334,1.98,6.5,0.15,,,,,,,,,,,,,,,,Сenterboard,,Monohull,Fiberglass / GRP,Modern / Mainstream,Daysailer,With central / scandinavian cockpit,Marlow-Hunter,US,,15,from 2013,,,,,,,,,,,,,,,,,
Marlow-Hunter 40,Sailing yacht,The Marlow-Hunter 40 is produced by the brand Marlow-Hunter since 2012. Marlow-Hunter 40 is a 12.57 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 2.03 meters. The base price of a new Marlow-Hunter 40 is $247.0 thousand.,"from $246,964",https://itboat.com/models/9343-marlow-hunter-40,12.57,41.25,4.01,13.166666666666666,2.03,6.666666666666667,,8.94 (half load),189.0,341.0,10.0,2.0,4.0,2.0,,,,,,,Lifting,,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Marlow-Hunter,US,,40,from 2012,,,,,,,,,,,,,,,,,
Marlow-Hunter 42ss,Sailing yacht,"The Marlow-Hunter 42ss is produced by the brand Marlow-Hunter since 2012. Marlow-Hunter 42ss is a 12.57 meters cruising yacht with a Mediterranean cockpit with 2 guest cabins and a draft of 2.03 meters. The base price of a new Marlow-Hunter 42ss is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/9342-marlow-hunter-42ss,12.57,41.25,4.01,13.166666666666666,2.03,6.666666666666667,,8.94 (half load),189.0,341.0,,2.0,4.0,2.0,,,,,,,Lifting,,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Marlow-Hunter,US,,42ss,from 2012,,,,,,,,,,,,,,,,,
Marlow-Hunter 22,Sailing yacht,"The Marlow-Hunter 22 is produced by the brand Marlow-Hunter since 2012. Marlow-Hunter 22 is a 6.50 meters deysailer with a draft of 0.30 meters. The yacht has a fiberglass / grp hull with a CE certification class (C) and can navigate along the coastline, on rivers and canals. The base price of a new Marlow-Hunter 22 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2011-marlow-hunter-22,6.5,21.333333333333332,2.41,7.916666666666667,0.3,1.0,,0.91 (half load),,,,,,,,,,,,,Сenterboard,C - Coastal waters,Monohull,Fiberglass / GRP,Modern / Mainstream,Daysailer,With central / scandinavian cockpit,Marlow-Hunter,US,,22,from 2012,,,,,,,,,,,,,,,,,
Marlow-Hunter 50CC,Sailing yacht,"The Marlow-Hunter 50CC is produced by the brand Marlow-Hunter since 2011. Marlow-Hunter 50CC is a 15.21 meters center-cockpit yacht with a draft of 1.68 meters. The base price of a new Marlow-Hunter 50CC is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2022-marlow-hunter-50cc,15.21,49.916666666666664,4.47,14.666666666666666,1.68,5.583333333333333,,16.76 (half load),613.0,734.0,,,,,,,,,,,Lifting,,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Marlow-Hunter,US,,50CC,from 2011,,,,,,,,,,,,,,,,,
Marlow-Hunter 18,Sailing yacht,"The Marlow-Hunter 18 is produced by the brand Marlow-Hunter since 2011. Marlow-Hunter 18 is a 5.59 meters sport dinghy with a draft of 0.15 meters. The base price of a new Marlow-Hunter 18 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2010-marlow-hunter-18,5.59,18.416666666666668,2.18,7.166666666666667,0.15,,,,,,,,,,,,,,,,Сenterboard,,Monohull,Fiberglass / GRP,Modern / Mainstream,Daysailer,With central / scandinavian cockpit,Marlow-Hunter,US,,18,from 2011,,,,,,,,,,,,,,,,,
Marlow-Hunter 33,Sailing yacht,"The Marlow-Hunter 33 is produced by the brand Marlow-Hunter since 2009. Marlow-Hunter 33 is a 10.21 meters cruising yacht with a Mediterranean cockpit with a draft of 1.37 meters. The base price of a new Marlow-Hunter 33 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2015-marlow-hunter-33,10.21,33.5,3.51,11.583333333333334,1.37,4.5,,5.62 (half load),95.0,189.0,,,,,,,,,,,Lifting,,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Marlow-Hunter,US,,33,from 2009,,,,,,,,,,,,,,,,,
Maxi Dolphin MD33,Sailing yacht,"The Maxi Dolphin MD33 is produced by the brand Maxi Dolphin since 2016. Maxi Dolphin MD33 is a 9.90 meters sport keel monotype with a draft of 2.00 meters. The base price of a new Maxi Dolphin MD33 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2098-maxi-dolphin-md33,9.9,32.5,3.2,10.5,2.0,6.583333333333333,,2 (half load),,,,,,,,,,,,,,,Monohull,Fiberglass / GRP,Modern / Mainstream,Racing,With mediterranean cockpit,Maxi Dolphin,Italy,,MD33,from 2016,,,,,,,,,,,,,,,,,
Maxi Dolphin MD73 Carmen di Bellavista,Sailing yacht,"The Maxi Dolphin MD73 Carmen di Bellavista is produced by the brand Maxi Dolphin since 1988. Maxi Dolphin MD73 Carmen di Bellavista is a 22.30 meters sport cruiser with a draft of 3.20 meters. The base price of a new Maxi Dolphin MD73 Carmen di Bellavista is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2091-maxi-dolphin-md73-carmen-di-bellavista,22.3,73.16666666666667,5.0,16.416666666666668,3.2,10.5,,22.16 (half load),1000.0,1500.0,,,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,MD73 Carmen di Bellavista,from 1988,,,,,,,,,,,,,,,,,
Maxi Dolphin MD90,Sailing yacht,"The Maxi Dolphin MD90 is produced by the brand Maxi Dolphin Maxi Dolphin MD90 is a 27.00 meters luxury cruising yacht with 6 guest cabins and a draft of 4.70 meters. The base price of a new Maxi Dolphin MD90 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2097-maxi-dolphin-md90,27.0,88.58333333333333,6.17,20.25,4.7,15.5,,46 (half load),4000.0,,,6.0,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,MD90,,,,,,,,,,,,,,,,,,
Maxi Dolphin MD65,Sailing yacht,"The Maxi Dolphin MD65 is produced by the brand Maxi Dolphin Maxi Dolphin MD65 is a 20.01 meters luxury cruising yacht with a draft of 3.60 meters which can cruise at 9.5 knots. The base price of a new Maxi Dolphin MD65 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2096-maxi-dolphin-md65,20.01,65.66666666666667,5.27,17.333333333333332,3.6,11.833333333333334,,17.97 (half load),800.0,600.0,,,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,MD65,,,,,,,,,,,9.5,,,,,,,
Maxi Dolphin Nacira 67,Sailing yacht,"The Maxi Dolphin Nacira 67 is produced by the brand Maxi Dolphin Maxi Dolphin Nacira 67 is a 19.50 meters sport cruiser with a draft of 3.35 meters. The base price of a new Maxi Dolphin Nacira 67 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2095-maxi-dolphin-nacira-67,19.5,64.0,5.55,18.25,3.35,11.0,,18 (half load),400.0,400.0,,,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,Nacira 67,,,,,,,,,,,,,,,,,,
Maxi Dolphin TP 52 Astro,Sailing yacht,"The Maxi Dolphin TP 52 Astro is produced by the brand Maxi Dolphin Maxi Dolphin TP 52 Astro is a 15.85 meters sport cruiser with a draft of 2.90 meters. The base price of a new Maxi Dolphin TP 52 Astro is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2094-maxi-dolphin-tp-52-astro,15.85,52.083333333333336,4.0,13.166666666666666,2.9,9.583333333333334,,,,,,,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,TP 52 Astro,,,,,,,,,,,,,,,,,,
Maxi Dolphin MD75 Bella Pita,Sailing yacht,"The Maxi Dolphin MD75 Bella Pita is produced by the brand Maxi Dolphin Maxi Dolphin MD75 Bella Pita is a 23.00 meters sport cruiser with a draft of 2.90 meters. The base price of a new Maxi Dolphin MD75 Bella Pita is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2093-maxi-dolphin-md75-bella-pita,23.0,75.5,5.0,16.416666666666668,2.9,9.583333333333334,,22 (half load),,,,,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,MD75 Bella Pita,,,,,,,,,,,,,,,,,,
Maxi Dolphin MD118 Viriella,Sailing yacht,"The Maxi Dolphin MD118 Viriella is produced by the brand Maxi Dolphin Maxi Dolphin MD118 Viriella is a 36.00 meters luxury cruising yacht with a draft of 3.50 meters. The base price of a new Maxi Dolphin MD118 Viriella is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2092-maxi-dolphin-md118-viriella,36.0,118.16666666666667,8.05,26.416666666666668,3.5,11.5,,130 (half load),9400.0,5000.0,,,,,,,,,,,,,,,,,,Maxi Dolphin,Italy,,MD118 Viriella,,,,,,,,,,,,,,,,,,
Maxus 28,Sailing yacht,The Northman Maxus 28 was produced by the brand Northman from 2010 to 2022. Northman Maxus 28 is a 9.44 meters sport dinghy with 2 guest cabins and a draft of 1.60 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The Northman Maxus 28 is no longer in production and the price of used models varies. Please contact the itBoat team for more information on used yachts and pricing details.,Price on request,https://itboat.com/models/6388-maxus-28,9.44,31.0,2.92,9.583333333333334,1.6,5.25,3.0,,,,,2.0,6.0,1.0,,,,,,,Fixed Lifting Сenterboard,B - Sea,Monohull,Fiberglass / GRP,Modern / Mainstream,Racing,With mediterranean cockpit,Northman,Poland,Sailing Yachts,Maxus 28,2010 – 2022,,,,,,,,,,,,,,,,,
Moody Decksaloon 54,Sailing yacht,"The Moody Decksaloon 54 is produced by the brand Moody since 2013. Moody Decksaloon 54 is a 17.15 meters yacht with deck saloon with 4 guest cabins and a draft of 2.60 meters. The yacht has a steel hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Moody Decksaloon 54 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2558-moody-decksaloon-54,17.15,56.333333333333336,5.2,17.083333333333332,2.6,8.583333333333334,,24.5 (half load),520.0,810.0,,4.0,8.0,3.0,81.0,,65.0,79.0,200.0,,Fixed,A - Ocean,Monohull,Steel,Modern / Mainstream,Cruiser,With deck saloon,Moody,Germany,,Decksaloon 54,from 2013,,,,,,,,,,,,,,,,,
Moody Decksaloon 45,Sailing yacht,The Moody Decksaloon 45 is produced by the brand Moody since 2013. Moody Decksaloon 45 is a 13.72 meters yacht with deck saloon with 3 guest cabins and a draft of 1.99 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Moody Decksaloon 45 is €679.9 thousand.,"from €679,900",https://itboat.com/models/1527-moody-decksaloon-45,13.72,45.083333333333336,4.57,15.0,1.99,6.583333333333333,,14 (half load),600.0,800.0,,3.0,6.0,2.0,62.0,,36.0,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Moody,Germany,,Decksaloon 45,from 2013,,,,,,,,,,,,,,,,,
Nauticat 37,Sailing yacht,The Nauticat 37 is produced by the brand Nauticat since 2013. Nauticat 37 is a 11.23 meters yacht with deck saloon with a draft of 1.85 meters. The base price of a new Nauticat 37 is €291.9 thousand.,"from €291,908",https://itboat.com/models/2602-nauticat-37,11.23,36.916666666666664,3.65,12.0,1.85,6.083333333333333,,8.7 (half load),440.0,400.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,37,from 2013,,,,,,,,,,,,,,,,,
Nauticat 441,Sailing yacht,The Nauticat 441 is produced by the brand Nauticat since 2013. Nauticat 441 is a 14.79 meters Motorsailer with a draft of 1.90 meters. The base price of a new Nauticat 441 is €425.2 thousand.,"from €425,164",https://itboat.com/models/1788-nauticat-441,14.79,48.583333333333336,3.75,12.333333333333334,1.9,6.25,,16.5 (half load),840.0,620.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,441,from 2013,,,,,,,,,,,,,,,,,
Nauticat 38,Sailing yacht,The Nauticat 38 is produced by the brand Nauticat since 2013. Nauticat 38 is a 11.38 meters Motorsailer with a draft of 1.80 meters. The base price of a new Nauticat 38 is €304.5 thousand.,"from €304,464",https://itboat.com/models/1787-nauticat-38,11.38,37.416666666666664,3.4,11.166666666666666,1.8,5.916666666666667,,11 (half load),600.0,400.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,38,from 2013,,,,,,,,,,,,,,,,,
Nauticat 331,Sailing yacht,The Nauticat 331 is produced by the brand Nauticat since 2013. Nauticat 331 is a 10.40 meters Motorsailer with a draft of 1.48 meters. The base price of a new Nauticat 331 is €215.4 thousand.,"from €215,413",https://itboat.com/models/1786-nauticat-331,10.4,34.166666666666664,3.4,11.166666666666666,1.48,4.916666666666667,,8.3 (half load),500.0,450.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,331,from 2013,,,,,,,,,,,,,,,,,
Nauticat 525,Sailing yacht,The Nauticat 525 is produced by the brand Nauticat since 2013. Nauticat 525 is a 15.90 meters yacht with deck saloon with a draft of 2.20 meters. The base price of a new Nauticat 525 is €807.9 thousand.,"from €807,868",https://itboat.com/models/1785-nauticat-525,15.9,52.166666666666664,4.6,15.166666666666666,2.2,7.25,,24 (half load),1570.0,1650.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,525,from 2013,,,,,,,,,,,,,,,,,
Nauticat 515,Sailing yacht,The Nauticat 515 is produced by the brand Nauticat since 2013. Nauticat 515 is a 15.42 meters yacht with deck saloon with a draft of 2.20 meters. The base price of a new Nauticat 515 is €745.8 thousand.,"from €745,827",https://itboat.com/models/1784-nauticat-515,15.42,50.666666666666664,4.6,15.166666666666666,2.2,7.25,,24 (half load),1670.0,1600.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,515,from 2013,,,,,,,,,,,,,,,,,
Nauticat 42,Sailing yacht,The Nauticat 42 is produced by the brand Nauticat since 2013. Nauticat 42 is a 13.00 meters yacht with deck saloon with a draft of 1.95 meters. The base price of a new Nauticat 42 is €409.2 thousand.,"from €409,160",https://itboat.com/models/1783-nauticat-42,13.0,42.666666666666664,4.0,13.166666666666666,1.95,6.416666666666667,,14.5 (half load),700.0,700.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,42,from 2013,,,,,,,,,,,,,,,,,
Nauticat 385,Sailing yacht,The Nauticat 385 is produced by the brand Nauticat since 2013. Nauticat 385 is a 11.65 meters yacht with deck saloon with a draft of 1.90 meters. The base price of a new Nauticat 385 is €295.6 thousand.,"from €295,561",https://itboat.com/models/1782-nauticat-385,11.65,38.25,3.6,11.833333333333334,1.9,6.25,,9.5 (half load),335.0,440.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,385,from 2013,,,,,,,,,,,,,,,,,
Nauticat 351,Sailing yacht,The Nauticat 351 is produced by the brand Nauticat since 2013. Nauticat 351 is a 10.06 meters yacht with deck saloon with a draft of 1.70 meters. The base price of a new Nauticat 351 is €263.0 thousand.,"from €262,990",https://itboat.com/models/1780-nauticat-351,10.06,33.083333333333336,3.5,11.5,1.7,5.583333333333333,,7.5 (half load),335.0,440.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,351,from 2013,,,,,,,,,,,,,,,,,
Nauticat 321,Sailing yacht,The Nauticat 321 is produced by the brand Nauticat since 2013. Nauticat 321 is a 10.00 meters yacht with deck saloon with a draft of 1.80 meters. The base price of a new Nauticat 321 is €182.0 thousand.,"from €181,974",https://itboat.com/models/1779-nauticat-321,10.0,32.833333333333336,3.24,10.666666666666666,1.8,5.916666666666667,,6 (half load),250.0,440.0,,,,,,,,,,,,,,,,,,Nauticat,Finland,,321,from 2013,,,,,,,,,,,,,,,,,
Nautitech 40 Open,Sailing yacht,The Nautitech 40 Open is produced by the brand Nautitech since 2013. Nautitech 40 Open is a 11.98 meters sailing cruising multihull with 4 guest cabins and a draft of 1.35 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Nautitech 40 Open is €488.0 thousand.,"from €488,000",https://itboat.com/models/2717-nautitech-40-open,11.98,39.333333333333336,6.91,22.75,1.35,4.5,8.5,7.8 (half load),300.0,300.0,,4.0,8.0,2.0,,,,,,,Fixed,A - Ocean,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Nautitech,Germany,Sailing,40 Open,from 2013,,,,,,,,,,,,,,,,,
Nordhavn 56 MS,Sailing yacht,"The Nordhavn 56 MS is produced by the brand Nordhavn Yachts since 2011. Nordhavn 56 MS is a 17.50 meters Motorsailer with 2 guest cabins and a draft of 2.13 meters which can cruise at 9 knots. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Nordhavn 56 MS is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/4464-nordhavn-56-ms,17.5,57.416666666666664,5.05,16.583333333333332,2.13,7.0,,43.09 (half load),3028.0,946.0,,2.0,4.0,2.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Nordhavn Yachts,US,,56 MS,from 2011,,,,,,,,,,9.0,,,,,,,
Nordship 360 DS,Sailing yacht,"The Nordship 360 DS is produced by the brand Nordship since 2010. Nordship 360 DS is a 11.00 meters yacht with deck saloon with 2 guest cabins and a draft of 1.80 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Nordship 360 DS is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2150-nordship-360-ds,11.0,36.166666666666664,3.6,11.833333333333334,1.8,5.916666666666667,,6.5 (half load),200.0,400.0,,2.0,4.0,1.0,37.0,,,,,,Fixed Lifting,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Nordship,Denmark,,360 DS,from 2010,,,,,,,30.0,,,,,,,,,,
Oyster 885 series II,Sailing yacht,"The Oyster 885 series II is produced by the brand Oyster since 2013. Oyster 885 series II is a 27.08 meters luxury cruising yacht with 4 guest cabins and a draft of 3.50 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Oyster 885 series II is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/1831-oyster-885-series-ii,27.08,88.91666666666667,6.33,20.833333333333332,3.5,11.5,,74 (half load),3500.0,2000.0,,4.0,8.0,4.0,,,,,,,Other,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Oyster,Great Britain,,885 series II,from 2013,3.0,,,,,,,,,,,,,,,,
Salona S33,Sailing yacht,The Salona S33 is produced by the brand Salona since 2016. Salona S33 is a 9.99 meters sport cruiser with 2 guest cabins and a draft of 1.50 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Salona S33 is $105.9 thousand.,"from $105,900",https://itboat.com/models/7259-salona-s33,9.99,32.833333333333336,3.35,11.0,1.5,5.0,,4.95 (half load),90.0,100.0,,2.0,4.0,,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Performance Cruiser,With mediterranean cockpit,Salona,Croatia,,S33,from 2016,,,,,,,,,,,,,,,,,
Salona S35,Sailing yacht,The Salona S35 is produced by the brand Salona since 2013. Salona S35 is a 10.40 meters sport cruiser with a draft of 1.75 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Salona S35 is €94.7 thousand.,"from €94,688",https://itboat.com/models/2072-salona-s35,10.4,34.166666666666664,3.36,11.083333333333334,1.75,5.75,,,90.0,200.0,,,,,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Performance Cruiser,With mediterranean cockpit,Salona,Croatia,,S35,from 2013,,,,,,,,,,,,,,,,,
Saturn 23 GT,Sailing yacht,"The Saturn 23 GT is produced by the brand Saturn Saturn 23 GT is a 6.98 meters sport keel monotype with a draft of 1.52 meters. The base price of a new Saturn 23 GT is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2287-saturn-23-gt,6.98,22.916666666666668,2.53,8.333333333333334,1.52,5.0,1.25,,,,,,4.0,,,,,,,,,,,,,,,Saturn,Poland,,23 GT,,,,,,,,,,,,,,,,,,
Sly 54,Sailing yacht,"The Sly 54 is produced by the brand Sly since 2013. Sly 54 is a 16.00 meters luxury cruising yacht with a draft of 3.00 meters. The base price of a new Sly 54 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/4159-sly-54,16.0,52.5,4.4,14.5,3.0,9.916666666666666,,11.5 (half load),275.0,550.0,,,,,,,,,,,,,,,,,,Sly,Italy,,54,from 2013,,,,,,,,,,,,,,,,,
Sly 38,Sailing yacht,"The Sly 38 is produced by the brand Sly Sly 38 is a 11.50 meters sport cruiser with a draft of 2.30 meters. The base price of a new Sly 38 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/1841-sly-38,11.5,37.75,3.7,12.166666666666666,2.3,7.583333333333333,,5.5 (half load),120.0,280.0,,,,,,,,,,,,,,,,,,Sly,Italy,,38,,,,,,,,,,,,,,,,,,
Sly 48 C,Sailing yacht,"The Sly 48 C is produced by the brand Sly Sly 48 C is a 14.50 meters sport cruiser with a draft of 2.50 meters. The base price of a new Sly 48 C is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/433-sly-48-c,14.5,47.583333333333336,4.2,13.833333333333334,2.5,8.25,,9.9 (half load),220.0,530.0,,,,,,,,,,,,,,,,,,Sly,Italy,,48 C,,,,,,,,,,,,,,,,,,
Sly 61,Sailing yacht,"The Sly 61 is produced by the brand Sly Sly 61 is a 18.65 meters luxury cruising yacht with a draft of 3.20 meters. The base price of a new Sly 61 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/431-sly-61,18.65,61.25,4.85,15.916666666666666,3.2,10.5,,25.7 (half load),516.0,1200.0,,,,,,,,,,,,,,,,,,Sly,Italy,,61,,,,,,,,,,,,,,,,,,
Sly 42 Fun,Sailing yacht,"The Sly 42 Fun is produced by the brand Sly Sly 42 Fun is a 12.80 meters sport cruiser with a draft of 2.50 meters. The base price of a new Sly 42 Fun is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/429-sly-42-fun,12.8,42.0,3.8,12.5,2.5,8.25,,6.4 (half load),170.0,270.0,,,,,,,,,,,,,,,,,,Sly,Italy,,42 Fun,,,,,,,,,,,,,,,,,,
Spirit 111,Sailing yacht,"The Spirit 111 is produced by the brand Spirit since 2018. Spirit 111 is a 33.90 meters classic yacht with 3 guest cabins and a draft of 4.05 meters. The yacht has a wood hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Spirit 111 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8329-spirit-111,33.9,111.25,6.4,21.0,4.05,13.333333333333334,,58 (half load),,,,3.0,6.0,3.0,,,,,,,Fixed,A - Ocean,Monohull,Wood,Classic / Retro,Cruiser,With central / scandinavian cockpit,Spirit,Great Britain,The Superyacht,111,from 2018,,,,,,,,,,,,,,,,,
Spirit 50CR,Sailing yacht,"The Spirit 50CR is produced by the brand Spirit since 2016. Spirit 50CR is a 14.95 meters classic yacht with 2 guest cabins and a draft of 2.05 meters. The yacht has a wood hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Spirit 50CR is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8337-spirit-50cr,14.95,49.083333333333336,3.5,11.5,2.05,6.75,,8.2 (half load),270.0,400.0,,2.0,4.0,1.0,,,,,,,Fixed,A - Ocean,Monohull,Wood,Classic / Retro,Cruiser,With central / scandinavian cockpit,Spirit,Great Britain,The Cruising Range,50CR,from 2016,,,,,,,,,,,,,,,,,
Spirit 65,Sailing yacht,"The Spirit 65 is produced by the brand Spirit since 2015. Spirit 65 is a 19.70 meters classic yacht with 3 guest cabins and a draft of 3.00 meters. The yacht has a wood hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Spirit 65 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8332-spirit-65,19.7,64.66666666666667,4.0,13.166666666666666,3.0,9.916666666666666,,16.5 (half load),,,,3.0,6.0,3.0,,,,,,,Fixed,A - Ocean,Monohull,Wood,Classic / Retro,Cruiser,With central / scandinavian cockpit,Spirit,Great Britain,The Classic Style,65,from 2015,,,,,,,,,,,,,,,,,
Spirit Classic 74,Sailing yacht,"The Spirit Classic 74 is produced by the brand Spirit since 2013. Spirit Classic 74 is a 22.70 meters classic yacht with 3 guest cabins and a draft of 3.00 meters. The yacht has a wood hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Spirit Classic 74 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8333-spirit-classic-74,22.7,74.5,4.8,15.75,3.0,9.916666666666666,,22 (half load),,,,3.0,6.0,3.0,,,,,,,Fixed,A - Ocean,Monohull,Wood,Classic / Retro,Cruiser,With central / scandinavian cockpit,Spirit,Great Britain,The Classic Style,Classic 74,from 2013,2.0,,,,,,,,,,,,,,,,
Spirit 46,Sailing yacht,"The Spirit 46 is produced by the brand Spirit since 2012. Spirit 46 is a 14.15 meters classic yacht with 1 guest cabin and a draft of 2.00 meters. The yacht has a wood hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Spirit 46 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2189-spirit-46,14.15,46.5,2.83,9.333333333333334,2.0,6.583333333333333,,4.5 (half load),,,,1.0,2.0,1.0,,,,,,,Fixed,A - Ocean,Monohull,Wood,Classic / Retro,Cruiser,With central / scandinavian cockpit,Spirit,Great Britain,The Classic Style,46,from 2012,,,,,,,,,,,,,,,,,
